vms	mean	stdev	max
1	100	0	100
2	100	0	100
3	100	0	100
4	100	0	100
5	100	0	100
6	100	0	100
7	100	0	100
8	100	0	100
9	100	0	100
10	100	0	100
11	100	0	100
12	100	0	100
13	100	0	100
14	100	0	100
15	100	0	100
16	100	0	100
17	100	0	100
18	100	0	100
19	100	0	100
20	100	0	100
21	100	0	100
22	100	0	100
23	100	0	100
24	100	0	100
25	100	0	100
26	100	0	100
27	100	0	100
28	100	0	100
29	100	0	100
30	100	0	100
31	100	0	100
32	100	0	100
33	100	0	100
34	100	0	100
35	100	0	100
36	100	0	100
37	100	0	100
38	100	0	100
39	100	0	100
40	100	0	100
41	100	0	100
42	100	0	100
43	100	0	100
44	100	0	100
45	100	0	100
46	100	0	100
47	100	0	100
48	100	0	100
49	100	0	100
50	100	0	100
51	100	0	100
52	100	0	100
53	100	0	100
54	100	0	100
55	100	0	100
56	100	0	100
57	100	0	100
58	100	0	100
59	100	0	100
60	100	0	100
61	100	0	100
62	100	0	100
63	100	0	100
64	100	0	100
65	98.462	12.403	100
66	96.97	17.273	100
67	95.522	20.837	100
68	94.118	23.704	100
69	92.754	26.115	100
70	91.429	28.196	100
71	90.141	30.023	100
72	88.889	31.648	100
73	87.671	33.104	100
74	86.486	34.42	100
75	85.333	35.616	100
76	84.211	36.707	100
77	83.117	37.706	100
78	82.051	38.624	100
79	81.013	39.471	100
80	80	40.252	100
81	79.012	40.976	100
82	78.049	41.646	100
83	77.108	42.269	100
84	76.19	42.848	100
85	75.294	43.386	100
86	74.419	43.888	100
87	73.563	44.355	100
88	72.727	44.791	100
89	71.91	45.198	100
90	71.111	45.579	100
91	70.33	45.934	100
92	69.565	46.265	100
93	68.817	46.575	100
94	68.085	46.865	100
95	67.368	47.135	100
96	66.667	47.388	100
97	65.979	47.624	100
98	65.306	47.844	100
99	64.646	48.05	100
100	64	48.242	100
101	63.366	48.421	100
102	62.745	48.587	100
103	62.136	48.742	100
104	61.538	48.886	100
105	60.952	49.02	100
106	60.377	49.144	100
107	59.813	49.258	100
108	59.259	49.364	100
109	58.716	49.462	100
110	58.182	49.552	100
111	57.658	49.634	100
112	57.143	49.71	100
113	56.637	49.778	100
114	56.14	49.841	100
115	55.652	49.897	100
116	55.172	49.947	100
117	54.701	49.993	100
118	54.237	50.033	100
119	53.782	50.068	100
120	53.333	50.098	100
121	52.893	50.124	100
122	52.459	50.145	100
123	52.033	50.163	100
124	51.613	50.177	100
125	51.2	50.187	100
126	50.794	50.193	100
127	50.394	50.196	100
128	50	50.196	100
129	49.612	50.193	99.805
130	49.231	50.187	99.418
131	48.855	50.179	99.034
132	48.485	50.167	98.652
133	48.12	50.154	98.274
134	47.761	50.137	97.898
135	47.407	50.119	97.526
136	47.059	50.098	97.157
137	46.715	50.075	96.79
138	46.377	50.05	96.427
139	46.043	50.023	96.066
140	45.714	49.995	95.709
141	45.39	49.965	95.355
142	45.07	49.933	95.003
143	44.755	49.899	94.654
144	44.444	49.864	94.308
145	44.138	49.827	93.965
146	43.836	49.789	93.625
147	43.537	49.75	93.287
148	43.243	49.71	92.953
149	42.953	49.668	92.621
150	42.667	49.625	92.292
