name,executionTime,simulatedTime,metricRecordStart,metricRecordDuration,appSchedulingTimeout,nHosts,activeHostsMax,activeHostsMean,activeHostsMin,activeHostsUtil,totalUtil,powerConsumed,powerMax,powerMean,powerMin,powerEfficiency,cpuUnderprovision,slaAchieveGTE99,slaAchieveGTE95,slaAchieveGTE90,slaAchieveLT90,slaAchieveMean,slaAchieveStdev,slaAchieveMax,slaAchieve95,slaAchieve75,slaAchieve50,slaAchieve25,slaAchieveMin,slaAggregateTotal,slaAggregateMax,slaAggregateMean,slaAggregateMin,slaApplicationMean,slaApplicationStdev,slaApplicationMax,slaApplication95,slaApplication75,slaApplication50,slaApplication25,slaApplicationMin,responseTimeMax,responseTimeMean,responseTimeMin,throughputMax,throughputMean,throughputMin,applicationsSpawned,applicationsShutdown,applicationPlacementsFailed,averageSize,messages-edu.uwo.csd.dcsim.management.events.HostStatusEvent,messageBW-edu.uwo.csd.dcsim.management.events.HostStatusEvent
AppExample,107,18000000,600000,17400000,0,4,1.0,1.0,1.0,1.401,0.35,0.053,10.981,10.981,10.981,48.995,0.0,1.0,1.0,1.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.013,0.013,22.427,22.427,22.427,0,0,0,1.0,59,0.0
AppExample,62,18000000,600000,17400000,0,4,1.0,1.0,1.0,2.802,0.701,0.058,11.961,11.961,11.961,89.956,0.0,2.0,2.0,2.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.013,0.013,22.427,22.427,22.427,0,0,0,1.0,59,0.0
AppExample,69,18000000,600000,17400000,0,4,1.0,1.0,1.0,4.203,1.051,0.063,12.942,12.942,12.942,124.708,0.0,3.0,3.0,3.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.013,0.013,22.427,22.427,22.427,0,0,0,1.0,59,0.0
AppExample,62,18000000,600000,17400000,0,4,1.0,1.0,1.0,5.604,1.401,0.067,13.923,13.923,13.923,154.565,0.0,4.0,4.0,4.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.013,0.013,22.427,22.427,22.427,0,0,0,1.0,59,0.0
AppExample,78,18000000,600000,17400000,0,4,1.0,1.0,1.0,7.005,1.751,0.072,14.904,14.904,14.904,180.493,0.0,5.0,5.0,5.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.013,0.013,22.427,22.427,22.427,0,0,0,1.0,59,0.0
AppExample,77,18000000,600000,17400000,0,4,1.0,1.0,1.0,8.406,2.102,0.077,15.884,15.884,15.884,203.219,0.0,6.0,6.0,6.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.013,0.013,22.427,22.427,22.427,0,0,0,1.0,59,0.0
AppExample,71,18000000,600000,17400000,0,4,1.0,1.0,1.0,9.807,2.452,0.082,16.865,16.865,16.865,223.301,0.0,7.0,7.0,7.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.013,0.013,22.427,22.427,22.427,0,0,0,1.0,59,0.0
AppExample,75,18000000,600000,17400000,0,4,1.0,1.0,1.0,11.208,2.802,0.086,17.846,17.846,17.846,241.177,0.0,8.0,8.0,8.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.013,0.013,22.427,22.427,22.427,0,0,0,1.0,59,0.0
AppExample,62,18000000,600000,17400000,0,4,1.0,1.0,1.0,12.609,3.152,0.091,18.827,18.827,18.827,257.19,0.0,9.0,9.0,9.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.013,0.013,22.427,22.427,22.427,0,0,0,1.0,59,0.0
AppExample,51,18000000,600000,17400000,0,4,1.0,1.0,1.0,14.01,3.503,0.096,19.807,19.807,19.807,271.617,0.0,10.0,10.0,10.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.013,0.013,22.427,22.427,22.427,0,0,0,1.0,59,0.0
