vms	responsetime
1	0.013
2	0.013
3	0.013
4	0.013
5	0.013
6	0.013
7	0.013
8	0.013
9	0.013
10	0.013
11	0.013
12	0.013
13	0.013
14	0.013
15	0.013
16	0.013
17	0.013
18	0.013
19	0.013
20	0.013
21	0.013
22	0.013
23	0.013
24	0.013
25	0.013
26	0.013
27	0.013
28	0.013
29	0.013
30	0.013
31	0.013
32	0.013
33	0.013
34	0.013
35	0.013
36	0.013
37	0.013
38	0.013
39	0.013
40	0.013
41	0.013
42	0.013
43	0.013
44	0.013
45	0.013
46	0.013
47	0.013
48	0.013
49	0.013
50	0.013
51	0.013
52	0.013
53	0.013
54	0.013
55	0.013
56	0.013
57	0.013
58	0.013
59	0.013
60	0.013
61	0.013
62	0.013
63	0.013
64	0.013
65	0.013
66	0.013
67	0.013
68	0.013
69	0.013
70	0.013
71	0.013
72	0.013
73	0.013
74	0.013
75	0.013
76	0.013
77	0.013
78	0.013
79	0.013
80	0.013
81	0.013
82	0.013
83	0.013
84	0.013
85	0.013
86	0.013
87	0.013
88	0.013
89	9.223372036854776E15
90	9.223372036854776E15
91	9.223372036854776E15
92	9.223372036854776E15
93	9.223372036854776E15
94	9.223372036854776E15
95	9.223372036854776E15
96	9.223372036854776E15
97	9.223372036854776E15
98	9.223372036854776E15
99	9.223372036854776E15
100	9.223372036854776E15
