vms	throughput
1	22.427
2	22.427
3	22.427
4	22.427
5	22.427
6	22.427
7	22.427
8	22.427
9	22.427
10	22.427
11	22.427
12	22.427
13	22.427
14	22.427
15	22.427
16	22.427
17	22.427
18	22.427
19	22.427
20	22.427
21	22.427
22	22.427
23	22.427
24	22.427
25	22.427
26	22.427
27	22.427
28	22.427
29	22.427
30	22.427
31	22.427
32	22.427
33	22.427
34	22.427
35	22.427
36	22.427
37	22.427
38	22.427
39	22.427
40	22.427
41	22.427
42	22.427
43	22.427
44	22.427
45	22.427
46	22.427
47	22.427
48	22.427
49	22.427
50	22.427
51	22.427
52	22.427
53	22.427
54	22.427
55	22.427
56	22.427
57	22.427
58	22.427
59	22.427
60	22.427
61	22.427
62	22.427
63	22.427
64	22.427
65	22.082
66	21.748
67	21.423
68	21.108
69	20.802
70	20.505
71	20.216
72	19.936
73	19.662
74	19.397
75	19.138
76	18.886
77	18.641
78	18.402
79	18.169
80	17.942
81	17.72
82	17.504
83	17.293
84	17.088
85	16.887
86	16.69
87	16.498
88	16.311
89	16.128
90	15.948
91	15.773
92	15.602
93	15.434
94	15.27
95	15.109
96	14.952
97	14.798
98	14.647
99	14.499
100	14.354
101	14.211
102	14.072
103	13.936
104	13.802
105	13.67
106	13.541
107	13.415
108	13.29
109	13.168
110	13.049
111	12.931
112	12.816
113	12.702
114	12.591
115	12.481
116	12.374
117	12.268
118	12.164
119	12.062
120	11.961
121	11.862
122	11.765
123	11.67
124	11.575
125	11.483
126	11.392
127	11.302
128	11.214
129	11.127
130	11.041
131	10.957
132	10.874
133	10.792
134	10.712
135	10.632
136	10.554
137	10.477
138	10.401
139	10.326
140	10.253
141	10.18
142	10.108
143	10.037
144	9.968
145	9.899
146	9.831
147	9.764
148	9.698
149	9.633
150	9.569
